run,type,module,name,attrname,attrvalue,value
General-0-20220529-23:13:17-1762,runattr,,,configname,General,
General-0-20220529-23:13:17-1762,runattr,,,datetime,20220529-23:13:17,
General-0-20220529-23:13:17-1762,runattr,,,experiment,General,
General-0-20220529-23:13:17-1762,runattr,,,inifile,omnetpp.ini,
General-0-20220529-23:13:17-1762,runattr,,,iterationvars,,
General-0-20220529-23:13:17-1762,runattr,,,iterationvarsf,,
General-0-20220529-23:13:17-1762,runattr,,,measurement,,
General-0-20220529-23:13:17-1762,runattr,,,network,Network,
General-0-20220529-23:13:17-1762,runattr,,,processid,1762,
General-0-20220529-23:13:17-1762,runattr,,,repetition,0,
General-0-20220529-23:13:17-1762,runattr,,,replication,#0,
General-0-20220529-23:13:17-1762,runattr,,,resultdir,results,
General-0-20220529-23:13:17-1762,runattr,,,runnumber,0,
General-0-20220529-23:13:17-1762,runattr,,,seedset,0,
General-0-20220529-23:13:17-1762,param,,,Network.sender.senderAppLayer.generationInterval,exponential(2.0),
General-0-20220529-23:13:17-1762,param,,,Network.**.maxSeqNum,2147483647,
General-0-20220529-23:13:17-1762,param,,,Network.**.packetByteSize,12500,
General-0-20220529-23:13:17-1762,param,,,Network.dataQueue.bufferSize,100,
General-0-20220529-23:13:17-1762,param,,,Network.ackQueue.bufferSize,100,
General-0-20220529-23:13:17-1762,param,,,Network.sender.transpSend.bufferSize,2000000,
General-0-20220529-23:13:17-1762,param,,,Network.sender.transpSend.rtt,1s,
General-0-20220529-23:13:17-1762,param,,,Network.sender.transpSend.timeout,3s,
General-0-20220529-23:13:17-1762,param,,,Network.rec.transpRec.bufferSize,200,
General-0-20220529-23:13:17-1762,scalar,Network.sender.senderAppLayer,Number of packets generated,,,144
General-0-20220529-23:13:17-1762,scalar,Network.sender.transpSend,Avg Buffer Size Send,,,0.5
General-0-20220529-23:13:17-1762,scalar,Network.rec.recAppLayer,Avg delay,,,0.40723614314515
General-0-20220529-23:13:17-1762,scalar,Network.rec.recAppLayer,Number of packets,,,144
General-0-20220529-23:13:17-1762,scalar,Network.rec.transpRec,Avg Buffer Size Rec,,,0.5
